cell,cycle_number,policy,IR,QD,Discharge_time,Qdlin_mean,Qdlin_first,Qdlin_last,Qdlin_median,Qdlin_25p,Qdlin_75p,Qdlin_0.1,Qdlin_0.9,Vdlin_mean,Vdlin_first,Vdlin_last,Tdlin_mean,Tdlin_first,Tdlin_last
b2c31,311,4,0.017531633,1.0528435,13.487263333333246,0.6718586380811893,0.00049086718,0.98928624,0.9002569125688458,0.27888552128438954,0.9725245955740451,228,500,2.75,3.5,2.0,33.15259687900511,29.839174,35.210995
b1c32,650,5,0.017784111,0.95890743,11.952028333333384,0.5861282404873371,0.00056163291,0.87687933,0.7872053384189623,0.19504076,0.8623870655068502,235,0,2.75,3.5,2.0,34.11340559305379,30.747864,36.393452
b2c4,269,2,0.016842293,1.0209328,12.99325333333303,0.6384836803960614,0.00050287636,0.95269293,0.8523168916608985,0.2233598426808658,0.9403668,233,625,2.75,3.5,2.0,34.759708584967576,30.205849,37.584335
b3c15,817,4,0.016325371,0.94033158,11.833589999998612,0.5770334318041028,8.5496002e-05,0.8677929,0.7637514903274492,0.19945786326562304,0.8535582732315449,234,0,2.75,3.5,2.0,35.59636431424564,31.96772270332481,38.27929668493059
b1c31,774,5,0.017955767,0.97680926,12.269869999999962,0.604578291945229,4.7423428e-06,0.90045005,0.8119071588713733,0.20560326704169102,0.88543433,234,990,2.75,3.5,2.0,30.87471976217998,30.624928,31.061529
b3c16,76,3,0.015325348,1.0631616,14.287303333333693,0.7446235738405231,7.87479e-05,1.0474496,1.0016692268476253,0.4240176674571784,1.040078,214,360,2.75,3.5,2.0,35.71251809875843,31.88019176860375,37.52402983594875
b3c14,340,4,0.015498952,1.0669671,14.025278333330057,0.7091894971264662,7.9369765e-06,1.0288453,0.9422161334786973,0.36502778023439436,1.0136910912923869,220,426,2.75,3.5,2.0,34.45909677724659,31.70880906680344,36.08159666347469
b3c44,479,4,0.015602808,1.0590751,13.863249999998754,0.6993478981098086,0.00023272944,1.0170839,0.9293160526487293,0.3519391160910275,1.0022755755423984,221,445,2.75,3.5,2.0,35.297206510688746,31.80911351904224,37.49159927095315
b3c9,144,4,0.015819205,1.0718721,14.299114999999677,0.7349525802904113,0.00093752658,1.0494816,0.982791500439619,0.4073292237824024,1.0326335,217,377,2.75,3.5,2.0,34.050201586318785,31.79460348652075,35.215950037733684
b1c4,41,3,0.01666279,1.0834167,14.549543333333474,0.7499608743726869,3.847665e-05,1.0669159,1.0135248714705154,0.3899744083223485,1.058320895265585,218,364,2.75,3.5,2.0,32.509191491343834,29.44488,34.027832
b3c20,661,4,0.015347202,1.0178665,13.311580000002866,0.6649448788737993,7.4835057e-06,0.9763363,0.8805070318716175,0.31333737989118515,0.96290147,223,546,2.75,3.5,2.0,35.315890342542566,32.154591804700836,37.36844214099665
b3c40,81,4,0.015295668,1.0625201,14.247503333333103,0.736946665545695,4.8386191e-05,1.0449313,0.9926410211402066,0.40007892166967945,1.0352812,217,371,2.75,3.5,2.0,35.34770770873322,31.075959495926437,37.47148185953714
b2c43,330,5,0.018432099,1.0370421,12.839874999999786,0.6253915858696707,0.00062314584,0.94174755,0.8382288940190293,0.18295990408152557,0.9286263603814998,238,651,2.75,3.5,2.0,35.22579494725092,30.048859,38.677361
b3c11,707,4,0.015959982,0.98236287,12.592883333334857,0.6222589335909402,0.00076131703,0.92354178,0.8241505945468307,0.253801974185013,0.9102838,228,701,2.75,3.5,2.0,36.54896566203893,32.53819267500165,39.333784622689905
b3c45,85,3,0.015578671,1.0714911,14.372838333333494,0.7483766052194664,8.8236979e-05,1.0548286,1.0065986765324766,0.42515844042269685,1.0463556,215,358,2.75,3.5,2.0,33.5033869834199,31.261644,34.54807409404563
b3c7,723,3,0.015527338,1.0498027,14.009998333337716,0.7169582360571094,6.9367037e-05,1.0266252,0.9518798092998777,0.40034282543399524,1.0098898370073088,217,405,2.75,3.5,2.0,34.29961952165143,32.374239628396666,35.25922225813366
b3c12,83,4,0.016048422,1.075958,14.413003333333961,0.7418268311407433,0.00038296045,1.0575607,0.9962709723492145,0.4019273658724412,1.0437981947204193,217,369,2.75,3.5,2.0,33.93837383125262,31.326248815323527,35.29543390610248
b1c2,1724,2,0.017355068,1.0024719,13.34621166666669,0.6783737591277388,4.1004754e-05,0.97904772,0.9104418709229916,0.32205299,0.96295804,224,470,2.75,3.5,2.0,33.03969048687234,29.395567,34.859993
b3c29,183,4,0.014709307,1.065876,14.209723333333386,0.7276071468885689,6.2157102e-05,1.0426371,0.9713319153959111,0.3969411682272165,1.025544,216,390,2.75,3.5,2.0,31.803025197036487,31.406376250272324,32.030800687652345
b2c6,266,2,0.016710898,0.9964065,12.922404999999952,0.6340273349183627,1.8804807e-05,0.94825834,0.8476653025429073,0.2141653547697779,0.93369311,234,639,2.75,3.5,2.0,33.79493228707853,33.446609,32.774059
b3c25,933,4,0.016291214,0.94131964,11.981185000001766,0.593944771499369,0.0008408475,0.87961406,0.7892569458820966,0.24239103793550992,0.8659346693187715,228,0,2.75,3.5,2.0,37.238858562874945,33.710133110385904,39.75613258196313
b1c18,220,4,0.016033009,1.0487095,13.826473333333464,0.683199728032099,0.00047144588,1.0136501,0.9168013609608443,0.2739411299617199,0.997743603391354,227,475,2.75,3.5,2.0,33.380015013143286,29.985577,35.554291
b2c31,172,4,0.017595438,1.0735773,14.118731666666676,0.7122267314612287,1.9929224e-05,1.0350658,0.95368558,0.3391154984899137,1.0150592,223,415,2.75,3.5,2.0,33.01439279807214,30.006504,34.80109
b2c32,330,4,0.017909329,1.0578464,13.322531666666322,0.6573723625799738,0.00027478227,0.97683311,0.8799590783504732,0.2388286,0.96247387,232,544,2.75,3.5,2.0,34.786446462733366,29.828993,37.909641
b2c44,401,5,0.018904801,0.98318577,11.860364999999973,0.5734389445858372,0.00022130804,0.870345,0.7687145071170297,0.15432007086830074,0.85454243,240,0,2.75,3.5,2.0,34.97589921443825,30.232994,38.358913
b2c40,93,4,0.017347043,1.0800266,14.415085000000062,0.7310230124346219,0.00085001945,1.056947,0.98390466,0.35433096,1.0387053,221,390,2.75,3.5,2.0,35.45125784026515,30.556324,38.178375
b3c14,175,4,0.015509118,1.0742253,14.319991666666464,0.732785976442968,0.00017706155,1.0502416,0.978396218532457,0.40012068973680204,1.0326591560157565,217,384,2.75,3.5,2.0,34.34416608477677,31.691444061267422,35.81228487865941
b3c24,144,4,0.015602815,1.0484878,14.032446666667234,0.7175390957991614,4.4525954e-05,1.028993,0.962296525325801,0.3761150992887649,1.0141248257822457,217,401,2.75,3.5,2.0,35.35916376315462,32.373066704635356,37.03449121184961
b1c1,1033,2,0.017447729,1.0458047,13.92305333333352,0.7057171715161353,0.00087704958,1.0215397,0.9520167633459099,0.33458958985208576,1.0029542019836575,223,413,2.75,3.5,2.0,32.16013553459714,29.229471,33.775318
b1c20,349,4,0.016110957,0.99048561,12.64121666666664,0.6170537699061994,0.00030664605,0.92687935,0.8239681470189354,0.1987532590705171,0.91360438,236,693,2.75,3.5,2.0,33.012648104852936,29.920385,35.094421
b2c24,8,3,0.017087562,1.0709443,14.39609500000006,0.7489171376025497,4.4264475e-06,1.0556499,1.0104147,0.41418034,1.0484409,216,358,2.75,3.5,2.0,29.630537129249824,29.988152,29.430019
b1c5,44,3,0.016266301,1.0809205,14.495809999999864,0.7425749083121995,0.00027946947,1.0632660305835204,1.0046997056754963,0.37369223346701025,1.0528643,220,372,2.75,3.5,2.0,31.463809611401373,29.230494,32.558792
b2c6,107,2,0.015872229,1.0494983,13.976048333333168,0.703725183782207,0.00052217784,1.0247579,0.9468250739927504,0.3160594367822904,1.007060287686488,224,424,2.75,3.5,2.0,32.23675638849985,33.737133,31.181149
b3c0,622,4,0.015245041,1.0427175,13.751463333334929,0.6955116524719962,4.8108755e-06,1.0080988,0.9220026410362716,0.36364852669174036,0.9950159328161265,218,457,2.75,3.5,2.0,33.70753242917817,32.17091202337729,34.6662964547177
b3c19,850,4,0.015746346,1.0242178,13.498201666671473,0.6843144578548236,0.00058693811,0.99047846,0.9072913017006257,0.35632647997691974,0.9763963711890137,219,484,2.75,3.5,2.0,36.489276260041386,33.44948356114624,38.46292597801489
b1c31,791,5,0.017940976,0.96270722,12.075220000000023,0.5951619862639622,0.00026302072,0.8851549,0.7969951392834842,0.21037515958677144,0.87125194,233,0,2.75,3.5,2.0,31.013530253791103,30.826345,31.128525
b3c0,621,4,0.015250012,1.0427163,13.751304999998926,0.695555552994444,9.8725475e-05,1.008333,0.9220393992307034,0.36367578368633086,0.9950232471295781,218,457,2.75,3.5,2.0,33.72585401032241,32.17842968444182,34.63836871574049
b3c5,156,4,0.01516122,1.0499732,14.02916500000089,0.7173083753667904,9.0219961e-05,1.0279658,0.959930251924902,0.3856815534762269,1.0122529,216,402,2.75,3.5,2.0,38.455760583721045,38.3161694132845,38.11030865663953
b2c18,385,3,0.018883023,0.98418504,12.232681666666636,0.5853488063642613,9.5779767e-05,0.89707017,0.7823704756796639,0.1359779601988982,0.8833199016224086,243,0,2.75,3.5,2.0,34.03814570603575,29.501892,37.172405
b1c3,1340,3,0.017276712,0.91969985,11.94278000000001,0.590778497210002,0.0008006132,0.87589681,0.7947103241541521,0.21877074126592402,0.8529574613290758,232,0,2.75,3.5,2.0,29.444911995326542,29.350248,29.702131
b1c1,1734,2,0.017607979,0.99005067,13.179285000000284,0.6666069189235382,0.00014982112,0.96689939,0.8981072223161326,0.29683366143839696,0.950302675880012,223,504,2.75,3.5,2.0,33.90346916612075,30.342571,36.265965
b2c31,293,4,0.017568056,1.0568254,13.587485000000015,0.6777506640625266,1.9897059e-05,0.99600911,0.9087199332523027,0.28913386079300585,0.9801208368338812,228,484,2.75,3.5,2.0,33.005401635575254,29.815744,34.944065
b3c27,424,4,0.014906432,1.0455732,13.77655000000183,0.7010555525319356,0.0010938128,1.0106932,0.9280540694533334,0.38107060964597805,0.99843925,216,445,2.75,3.5,2.0,37.440762671103336,33.647497750738886,39.77409894014436
b1c32,521,5,0.016728435,1.0381023,13.30227500000013,0.6621013646042441,0.00076061714,0.97607154,0.88096887,0.28537082743943104,0.96150661,226,540,2.75,3.5,2.0,34.777218642236114,31.353912,36.948917
b1c7,729,3,0.017146306,1.0009743,12.71281166666692,0.6265195704803541,4.1245726e-06,0.93229258,0.8385419897041733,0.22566123,0.9151678729910755,232,703,2.75,3.5,2.0,33.59501864176096,29.691231,36.101463
b2c10,453,2,0.018738277,0.97273743,12.482761666666676,0.6059507309339526,3.7510086e-05,0.91535026,0.811988292382914,0.16808338256832356,0.8996267430549667,239,752,2.75,3.5,2.0,34.49030646833124,37.656342,32.293884
b1c32,116,5,0.016297167,1.0774834,14.354633333333307,0.7302103598701856,0.000990025,1.053444,0.9796974569719842,0.3715044532714416,1.0353458529783723,220,389,2.75,3.5,2.0,33.907746445216944,30.260283,35.90226
b3c27,339,4,0.014924034,1.0510607,13.909295000000078,0.7094895706462041,0.00046110706,1.0199425,0.9411232394666125,0.3888910961988587,1.006777328425518,215,424,2.75,3.5,2.0,37.12401994230578,33.313597357372196,39.409113956949405
b1c2,63,2,0.016733313,1.085923,14.588188333333527,0.7562173325146775,0.0001548674,1.0694983,1.020588154826149,0.415750277758965,1.0613155,216,355,2.75,3.5,2.0,33.164908498716095,30.035074,34.749874
b3c8,99,4,0.015265453,1.067026,14.294239999999991,0.7351017422873876,5.2448058e-06,1.048363,0.9868632481094404,0.40016681436922025,1.0351828531574727,216,378,2.75,3.5,2.0,33.53712606801394,31.46911263460757,34.723804830420946
b3c17,74,4,0.015445353,1.066898,14.33375833333315,0.7511783771984178,0.00012764706,1.051232,1.006538320940229,0.4513205681828371,1.0438826,212,352,2.75,3.5,2.0,35.41303061549262,32.2794955082553,36.8904354867489
b2c14,36,3,0.016993288,1.08284,14.50780666666639,0.7506554868085327,0.00032445134,1.0637786,1.012806756426552,0.40211841,1.0555685120310232,218,360,2.75,3.5,2.0,34.49256052854748,30.174299,36.586884
b3c34,39,4,0.01528756,1.0637478,14.287193333333317,0.7453206774754678,6.1084043e-05,1.0474665,1.0032735100774923,0.4258264991142043,1.0405582756636802,214,360,2.75,3.5,2.0,36.31755302719959,32.2536869467697,38.28332985056758
b2c39,428,4,0.020010103,0.94611621,11.26998499999997,0.5378860247255292,0.00019732605,0.82646,0.7264692740763785,0.11144251241794904,0.81053293,249,0,2.75,3.5,2.0,33.93125744973271,29.921965,36.759956
b3c10,772,3,0.01538947,1.0268136,13.575981666667698,0.6833005557791547,0.0006791788,0.99546808,0.9079967884117299,0.33543461143226105,0.9819927419465526,221,483,2.75,3.5,2.0,34.484113688098546,31.733068694464414,36.25064432414121
b3c33,82,4,0.015361823,1.061524,14.2488400000002,0.7407782131789861,0.0002547297,1.0452323,0.9961801425124286,0.41742369540051927,1.0369611,215,366,2.75,3.5,2.0,33.1172465813129,31.618868,33.87046090917234
b1c27,482,5,0.016073056,1.0589207,13.913844999999977,0.7081316271196665,0.00063102017,1.0210531,0.9382613524444572,0.38344391405073724,1.00807633360427,216,433,2.75,3.5,2.0,38.412537506770846,34.235554,40.856544
b2c27,17,3,0.017241443,1.0709391,14.372883333333206,0.7445410922608685,0.00097194774,1.0544151,1.0047741938927648,0.40384137674433607,1.0460203,217,366,2.75,3.5,2.0,33.62556902866096,30.345457,35.221348
b3c14,165,4,0.015529988,1.0745345,14.330928333332608,0.7333930402587325,0.00017994714,1.0513803,0.9799280078290802,0.39891130423285087,1.0336816110152973,217,383,2.75,3.5,2.0,34.22962844542945,31.559416,35.73555614546663
b3c45,280,3,0.015540676,1.064963,14.244646666666572,0.7346616043464748,0.00028614327,1.0442182,0.9827916626131462,0.4157490334007188,1.0295691,215,375,2.75,3.5,2.0,34.14124474456257,31.85867206304551,35.26292669760103
b1c9,156,4,0.017023161,1.0856981,14.496865000000014,0.7391266573295984,0.00033136888,1.0636362,0.9909898274473864,0.37917781721857785,1.0460879118939876,220,376,2.75,3.5,2.0,33.91020902677906,30.138763,36.03389
b3c5,230,4,0.015114473,1.0456349,13.91529333333213,0.709628367151958,0.00019627808,1.0208504,0.9462555138510526,0.3800458610464714,1.0035750243895092,216,417,2.75,3.5,2.0,36.94611127179218,36.790204199484094,36.25357950444525
b3c34,1141,4,0.016632438,0.89126951,11.451188333332539,0.567594826867908,2.1242116e-05,0.83949655,0.75379395134418,0.23412633811675887,0.8272134485433336,228,0,2.75,3.5,2.0,37.59876178408979,34.8208016323601,39.817205518493
b1c11,484,4,0.016301766,1.0374424,13.707205000000009,0.6931829469580076,5.2235469e-06,1.0055798,0.9217309440644491,0.3521225964353165,0.987982060967215,219,458,2.75,3.5,2.0,35.44889462875611,31.797235,37.65527
b2c17,315,3,0.018151144,1.0396115,13.225365000000359,0.647516659949345,0.00084235874,0.96996111,0.8633399036103389,0.20434292994007358,0.95782751,236,578,2.75,3.5,2.0,32.630688407825204,29.321325,34.316093
b1c1,22,2,0.016898695,1.0819179,14.56154,0.7519297384753907,0.00054570223,1.0675758,1.0201872739384787,0.3918849168489547,1.0589908,219,359,2.75,3.5,2.0,32.55867087614565,29.629574,34.004608
b3c0,751,4,0.015233195,1.0294845,13.547630000001906,0.6829173637664387,2.8766217e-05,0.99347019,0.9045483795006841,0.3476513228151843,0.9809848335207759,219,491,2.75,3.5,2.0,33.75045117244185,32.210947044267215,34.70822343674185
b3c42,1214,3,0.015713807,1.0102285,13.435036666668019,0.6795122483319213,0.00028236408,0.98546225,0.9016161235649225,0.3368930969520026,0.9736199914173506,222,496,2.75,3.5,2.0,36.54521802929724,33.25139024877617,38.4418566866021
b3c6,661,2,0.016431266,0.88290739,11.12844666666351,0.5483786769957231,0.00019453748,0.8165751584532392,0.7258074204199914,0.20339321132590502,0.8051808663206371,232,0,2.75,3.5,2.0,35.50167719594431,37.778796480965575,34.227021486498295
b2c43,348,5,0.018504759,1.0276868,12.672541666667286,0.6164636606494075,1.8904086e-05,0.92989051,0.8252863828417876,0.18121481,0.9160170385377041,238,679,2.75,3.5,2.0,35.22322898088841,30.307137,38.545784
b1c32,570,5,0.017166888,1.019991,12.961075000000228,0.6408595299571778,4.1919742e-05,0.95078444,0.8559218730871718,0.2523215666707862,0.9358897387059687,228,614,2.75,3.5,2.0,34.22708365569974,30.743729,36.439888
b1c2,1971,2,0.017508535,0.9613899,12.756955000001472,0.6440697803992396,0.00070011232,0.93562549,0.8663397533472643,0.2910587325564157,0.9174962,225,622,2.75,3.5,2.0,33.75061787844581,30.492821,35.840611
b3c45,301,3,0.015576525,1.0658318,14.23820833333302,0.7340174460003444,7.2948292e-06,1.0444835,0.9818743217563012,0.41256303393359717,1.0289235,215,376,2.75,3.5,2.0,34.031860401838706,31.75790873200303,35.18014387251769
b2c14,434,3,0.018499589,0.96901703,11.780726666667029,0.5705487330951495,0.00017270868,0.86423451,0.7626398731389397,0.153257081615763,0.8486374,240,0,2.75,3.5,2.0,34.82324979099119,30.214886,37.89835
b3c19,1095,4,0.016459646,0.91749549,11.750095000001604,0.5844992084909288,7.6624565e-06,0.86132485,0.7774924827247794,0.24641110983662276,0.8476989225816256,227,0,2.75,3.5,2.0,36.24964638533009,33.90624126078056,38.04387076940536
b1c20,368,4,0.016218537,0.98328209,12.501799999999154,0.6087169632268737,6.3827642e-06,0.91721249,0.8122796598676045,0.1891897421741499,0.90317607,237,729,2.75,3.5,2.0,33.031055630660276,29.960741,35.067139
b3c19,908,4,0.015807841,1.0134987,13.320630000003927,0.6725144979313102,8.494274e-06,0.97749066,0.892122654731702,0.3370540903411849,0.9630486664775649,221,519,2.75,3.5,2.0,36.16639440617395,32.99604178934393,38.23388302178496
b1c18,565,4,0.017040374,0.99427611,12.827876666666508,0.6244374320508521,0.00016280521,0.94117111,0.8330703484343354,0.20952107995022026,0.9259888176339375,233,677,2.75,3.5,2.0,33.56198499017968,30.097094,35.877552
b3c17,1242,4,0.016312826,0.92067748,11.935836666667214,0.598500173759131,4.0944833e-05,0.87499189,0.7947255865641617,0.27863177583597903,0.8617502871034327,223,0,2.75,3.5,2.0,36.32018207877316,34.337335640657734,37.85410711259876
b2c40,407,4,0.018060852,0.99410576,12.270830000000085,0.5928285869097467,0.0007622008,0.90032887,0.794242032816199,0.13543041,0.88592058,243,983,2.75,3.5,2.0,35.15804884381156,30.401522,38.479038
b3c7,230,3,0.015388521,1.0675393,14.290135000000006,0.7407169893341362,6.3119711e-05,1.0485936,0.9895204189611806,0.4288854650844969,1.0352036271903995,215,365,2.75,3.5,2.0,34.05985646439993,32.18787824013486,34.893744323351385
b3c22,501,4,0.01572369,1.0416158,13.55294666666693,0.6863187447773794,0.0006455832,0.99424517,0.912346703269376,0.35067555927286725,0.98086822,220,473,2.75,3.5,2.0,36.499596869345766,33.28503647621492,38.513732843170956
b3c20,785,4,0.016330916,0.91611481,11.509304999994736,0.5628053023829553,0.00054108934,0.84494716,0.7457845398193135,0.19862534891309824,0.8320272313648048,234,0,2.75,3.5,2.0,35.07554609539875,32.292920808442524,37.1789114468117
b1c4,1398,3,0.01735954,0.99151003,13.138173333333299,0.6567250481820802,1.9214533e-05,0.96304095,0.8835735691746267,0.2622656130888225,0.94224882,229,539,2.75,3.5,2.0,32.0398942630744,28.46664,34.019661
b3c19,982,4,0.015937498,0.98516387,12.839586666668769,0.6445529830952536,0.00058158138,0.94160527,0.8561452187589409,0.3030388657972087,0.9275697678389564,223,642,2.75,3.5,2.0,36.03303505994848,33.10597891951488,38.03442641258686
b2c45,271,5,0.017002452,1.0506579,13.530906666666851,0.6718405126383765,0.00019234429,0.99271971,0.8963584298497065,0.2728539172352114,0.97801375,228,505,2.75,3.5,2.0,34.520961286948264,29.990116,37.302265
b1c15,66,4,0.016673069,1.0689471,14.341448333333638,0.7415685139434053,6.975179e-05,1.0510776,1.0009480495432506,0.39780262,1.0436409790464758,218,368,2.75,3.5,2.0,35.512373776812744,31.221678,37.653557
b3c33,690,4,0.015394902,1.0343889,13.761031666669684,0.704019062226884,0.00034045987,1.0098398,0.9349625041268512,0.3896820493503058,0.993973643439499,216,431,2.75,3.5,2.0,34.53369458344912,33.220150719819436,35.335789241089785
b2c36,191,4,0.020375632,1.0796854,14.143051666666729,0.7015228842326418,1.8815379e-05,1.037451,0.944293858511327,0.2566978,1.0213512845802069,232,434,2.75,3.5,2.0,35.0414893588126,30.375456,37.946617
b1c26,63,5,0.016300462,1.0906993,14.623731666666568,0.7540070241523575,0.00040134674,1.0723593,1.0165225,0.40145838,1.0616135593773446,217,359,2.75,3.5,2.0,34.122407890410365,30.396284,36.058414
b2c41,182,4,0.017782979,1.066162,13.924193333333342,0.6972461103286005,0.00014821885,1.0218571,0.932683660037539,0.31292856246164513,1.003403520941782,226,444,2.75,3.5,2.0,34.60345405995049,30.362558,37.201828
b1c3,274,3,0.016536174,1.078822,14.402366666666538,0.7358727068655575,0.00014686544,1.0562334,0.9869164147413894,0.3900252512368689,1.0390513,218,380,2.75,3.5,2.0,29.99130311038784,29.379465,30.347979
b1c14,878,4,0.020001983,0.8800649,10.974324999999958,0.5364482162789671,0.000118428,0.80551296,0.7234428678669373,0.16648993115032945,0.7882434176010863,238,0,2.75,3.5,2.0,31.566118368058188,31.522318,31.576975
b3c22,445,4,0.015720414,1.0444567,13.625006666666984,0.6913862209548093,0.00065525121,0.99932635,0.9196468546764509,0.35665979618963545,0.986257370560452,219,459,2.75,3.5,2.0,36.22107674932093,32.95578851133989,38.193065637964615
b3c16,1535,3,0.015308825,0.92398167,12.18517999999846,0.6170889765867797,6.6446437e-06,0.89317131,0.82050353348909,0.30882736780831566,0.8747474596789785,220,0,2.75,3.5,2.0,37.31881574758641,35.035136771407664,38.936878689036504
b1c7,75,3,0.016237499,1.0966536,14.687573333333422,0.75556928186044,0.00049419451,1.0773515,1.0148303026589098,0.41092679,1.064536742637909,217,360,2.75,3.5,2.0,33.079834126754804,29.617023,34.953674
b3c22,243,4,0.015673399,1.0525974,13.923109999999479,0.7101580113954538,0.00034449558,1.0209858,0.9473015611116133,0.37738480414532044,1.0030311314006863,218,413,2.75,3.5,2.0,35.86670231487344,32.496194138408306,37.838364008741564
b1c18,524,4,0.016874464,1.0080665,13.033468333333193,0.6340497751807488,8.3909785e-05,0.95560324,0.84633577,0.21376871488778923,0.9417015634625167,235,628,2.75,3.5,2.0,33.403134226979496,29.9256,35.756325
b3c24,418,4,0.015533086,1.0335838,13.662523333332505,0.6904892432846611,9.8952987e-05,1.0022787,0.9170560432976317,0.34949387392883735,0.989931758192636,219,466,2.75,3.5,2.0,36.511548598873354,33.5157052559929,38.3738525305938
b3c4,206,4,0.015129562,1.0702262,14.299561666666218,0.738825882163927,2.7891356e-05,1.0487065,0.9854590215952697,0.429623994636081,1.0332168,214,372,2.75,3.5,2.0,32.798862915145506,31.89860950374112,33.27007077788957
b3c7,1207,3,0.015562067,1.0275949,13.725503333339777,0.701145304984817,0.00057663198,1.0065693,0.9294773586738171,0.38425002898617006,0.9913889553048443,218,441,2.75,3.5,2.0,34.503760112261055,32.677597820390076,35.44299911721796
b2c13,405,3,0.018684043,0.97440374,12.09592166666674,0.5815832133514529,5.0871272e-06,0.88697362,0.774999972477495,0.1424787139008533,0.8723492,241,0,2.75,3.5,2.0,35.30053141446918,30.262831,38.819378
b2c5,206,2,0.016910365,1.0597665,13.744061666666433,0.6858924832285512,0.00016237852,1.0083798,0.91621602,0.29975757,0.9934334420768604,226,469,2.75,3.5,2.0,33.698551577599865,29.77524,36.132748
b3c3,687,4,0.015042576,1.0353123,13.696559999999593,0.6983303867168745,0.00031766182,1.0049875,0.9237960068111647,0.386248284706211,0.9920237803332121,216,452,2.75,3.5,2.0,38.686055806334636,34.18956662095569,41.450255950420235
b2c6,471,2,0.018575201,0.91118264,11.565708333333408,0.5556132831719762,0.00016880142,0.84837484,0.7470161921388004,0.12751831,0.83251083,245,0,2.75,3.5,2.0,33.804253298414466,34.990772,32.230728
b1c1,543,2,0.01719041,1.0667524,14.211959999999571,0.7227965117411655,0.00093230669,1.0422425,0.97356677,0.35444522038258014,1.0250839,222,388,2.75,3.5,2.0,32.30514649412367,29.480045,33.854679
b3c22,179,4,0.01574187,1.0546695,14.024718333334508,0.7163709040916872,6.4985984e-06,1.0287812,0.957792591161869,0.38030113240826563,1.0103279735243007,218,401,2.75,3.5,2.0,35.40341094070638,32.158739834731904,37.24667354793984
b3c42,496,3,0.01613963,1.05679,14.03005333333276,0.7104385153099751,0.00079713791,1.0293905079172931,0.94914903476103,0.3490082693490611,1.0123256310332431,223,415,2.75,3.5,2.0,34.518588510169174,31.318951,36.329008522261105
b3c0,391,4,0.015184581,1.0573295,14.02791000000046,0.7147228144153519,0.00027094377,1.0292923,0.9501391353020838,0.3881851032130374,1.0116448863662473,216,413,2.75,3.5,2.0,33.56168448829996,31.98290706649798,34.46883136799704
b2c25,98,3,0.017110612,1.067667,14.17280666666678,0.7106836550742018,2.052687e-05,1.0387145,0.9541092275036234,0.3264729387227817,1.0196201727618885,224,420,2.75,3.5,2.0,28.99714621067256,28.981138,29.01096
b3c7,1715,3,0.016065398,0.93240565,12.165010000004742,0.604963598167747,5.4463353e-06,0.89180887,0.8025148631299752,0.2629023793638423,0.8764096028132994,227,0,2.75,3.5,2.0,32.382002978750606,31.83080046090303,33.55679045152921
